customer_id,first_name,last_name,email,phone,address,city,state,country,age,gender,registration_date,is_active,_ingested_at,_source,_batch_id,_ingested_date
1,Jessica,Gilbert,jessica.gilbert240@outlook.com,773.742.1650x696,3138 Katie Ridge,Tiffanyside,Arkansas,Bulgaria,49,Female,2025-04-17,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
2,Faraj,Sengupta,faraj.sengupta708@gmail.com,+917572692571,"871, Gola Street",Bengaluru,Rajasthan,India,46,Male,2024-05-13,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
3,Joshua,Khatri,joshua.khatri778@yahoo.com,+918079839937,"H.No. 652, Majumdar",Bengaluru,Karnataka,India,18,Male,2025-11-04,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
4,Omya,Mistry,omya.mistry434@yahoo.com,+919690439660,"65/531, Tak Ganj",Kochi,Telangana,India,27,Female,2024-08-12,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
5,Hemani,Kota,hemani.kota821@gmail.com,+918244671176,"80, Sachdev Street",Pune,West Bengal,India,55,Female,2024-09-19,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
6,Hemani,Natt,hemani.natt641@outlook.com,+918132821138,"H.No. 57
Rau Chowk",Chennai,Kerala,India,51,Female,2025-09-22,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
7,Harinakshi,Rajagopal,harinakshi.rajagopal966@outlook.com,+918949411439,"56, Taneja Path",Nagpur,Telangana,India,58,Female,2024-07-29,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
8,Anna,Peterson,anna.peterson294@yahoo.com,(300)364-2009,806 Scott Ports Apt. 106,East Annport,New Mexico,Turkey,37,Female,2026-01-02,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
9,Sai,Vohra,sai.vohra55@gmail.com,+919883493931,"H.No. 705
Aggarwal Path",Delhi,Karnataka,India,32,Male,2024-06-30,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
10,Upasna,Pandya,upasna.pandya874@gmail.com,+919435806070,"H.No. 010, Gola Zila",Indore,Tamil Nadu,India,62,Female,2026-03-06,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
11,Wakeeta,Tella,wakeeta.tella547@yahoo.com,+919456779920,"27/64
Nagarajan Ganj",Coimbatore,Maharashtra,India,22,Female,2024-11-30,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
12,Robert,Mccarthy,robert.mccarthy373@yahoo.com,(837)971-9363x847,695 Anderson Plains,Lisaton,South Carolina,Western Sahara,32,Male,2024-11-11,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
13,Hemang,Sood,hemang.sood967@outlook.com,+919568952457,"39/327, Acharya Zila",Delhi,Maharashtra,India,40,Male,2024-09-07,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
14,Jonathan,Tara,jonathan.tara796@gmail.com,+919201797634,"55, Mangat",Chandigarh,Gujarat,India,53,Male,2024-12-22,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
15,Elijah,Sen,elijah.sen96@hotmail.com,+919367034399,"H.No. 598
Chana Zila",Chennai,Maharashtra,India,41,Male,2024-07-29,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
16,Chandresh,Chanda,chandresh.chanda977@hotmail.com,+917747689590,"H.No. 617
Dada Circle",Chandigarh,Rajasthan,India,49,Male,2025-06-26,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
17,Kelly,Reynolds,kelly.reynolds922@hotmail.com,(534)539-8686,04842 Barnes Crest Apt. 431,Kellybury,New York,Yemen,45,Female,2024-07-15,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
18,Nilima,Chadha,nilima.chadha616@outlook.com,+919297378869,"H.No. 214, Ratti Circle",Jaipur,Karnataka,India,19,Female,2025-05-23,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
19,Yashasvi,Sani,yashasvi.sani27@hotmail.com,+919997883801,"H.No. 478, Kala Road",Coimbatore,Telangana,India,33,Female,2025-11-08,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
20,Kai,Badami,kai.badami156@outlook.com,+917231888866,"H.No. 11
Bava",Hyderabad,Rajasthan,India,41,Male,2024-05-15,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
21,Rudra,Dhaliwal,rudra.dhaliwal695@outlook.com,+917181957595,"H.No. 205, Murty Street",Lucknow,Uttar Pradesh,India,27,Male,2024-08-14,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
22,Priya,Balay,priya.balay6@gmail.com,+917696362092,"H.No. 78, Pal Circle",Coimbatore,Delhi,India,27,Female,2026-01-03,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
23,Osha,Bir,osha.bir832@gmail.com,+917339706141,"H.No. 525, Warrior Nagar",Kolkata,Maharashtra,India,45,Non-Binary,2024-08-18,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
24,Kevin,Chawla,kevin.chawla4@outlook.com,+918217804822,"48/828
Mitter Road",Jaipur,Telangana,India,33,Non-Binary,2024-06-21,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
25,Ekbal,Contractor,ekbal.contractor238@hotmail.com,+918910085462,"H.No. 493
Singh Path",Jaipur,Uttar Pradesh,India,55,Male,2025-05-16,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
26,Angela,Jenkins,angela.jenkins682@outlook.com,(408)700-1595,83053 Ellen Orchard Suite 390,Meganborough,Colorado,Tajikistan,57,Female,2025-06-06,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
27,Widisha,Shetty,widisha.shetty377@outlook.com,+918947280743,"24/07, Kadakia Path",Hyderabad,Uttar Pradesh,India,27,Female,2024-07-24,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
28,Gauri,Pant,gauri.pant679@yahoo.com,+917009218472,"66
Ranganathan Nagar",Chandigarh,Gujarat,India,41,Non-Binary,2026-02-22,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
29,Sarthak,Barad,sarthak.barad155@hotmail.com,+917200034613,"66/196, Bumb Marg",Coimbatore,Telangana,India,29,Male,2025-05-05,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
30,Unnati,Banerjee,unnati.banerjee84@yahoo.com,+918561581655,"H.No. 740, Loyal Road",Ahmedabad,Kerala,India,23,Female,2025-06-07,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
31,Denise,Waters,denise.waters582@hotmail.com,+1-717-337-7138,3036 Gregory Springs,Christinaborough,North Dakota,Lesotho,62,Female,2025-03-05,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
